id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol
19477,option,-25,455.8,349.95,-2676.2500000000005,2021-12-22 05:10:03.088681+00:00,2021-12-22 05:45:01.213184+00:00,35100,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19478,option,-100,182.2,155.0,-2749.999999999999,2021-12-22 05:15:01.969400+00:00,2021-12-22 05:35:03.434577+00:00,17000,pe,4,Nifty50 Pyramiding_10,NIFTY
19480,option,-25,498.5,419.4,-2007.5000000000005,2021-12-22 05:15:03.685914+00:00,2021-12-22 05:45:01.213184+00:00,35200,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19481,option,-100,156.5,120.45,-3634.9999999999995,2021-12-22 05:20:02.241173+00:00,2021-12-22 05:35:03.434577+00:00,16950,pe,4,Nifty50 Pyramiding_10,NIFTY
19482,option,-25,511.05,419.4,-2321.250000000001,2021-12-22 05:20:02.513206+00:00,2021-12-22 05:45:01.213184+00:00,35200,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19484,option,-100,165.65,155.0,-1095.0000000000005,2021-12-22 05:25:00.621125+00:00,2021-12-22 05:35:03.434577+00:00,17000,pe,4,Nifty50 Pyramiding_10,NIFTY
19485,option,-25,512.25,497.45,-400.0000000000003,2021-12-22 05:25:02.754240+00:00,2021-12-22 05:45:01.213184+00:00,35300,pe,26,BankNifty Pyramiding_11_26,BANKNIFTY
19487,option,100,158.0,162.15,385.00000000000057,2021-12-22 05:30:02.341540+00:00,2021-12-22 06:50:03.351986+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
19489,option,25,524.05,469.3,-1398.7499999999986,2021-12-22 05:30:03.838892+00:00,2021-12-22 07:50:03.044280+00:00,34400,ce,1,BankNifty Pyramiding_1,BANKNIFTY
19491,option,100,160.55,161.0,14.999999999998863,2021-12-22 05:35:03.434577+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19492,option,100,160.55,162.15,129.99999999999943,2021-12-22 05:35:04.642940+00:00,2021-12-22 06:50:03.351986+00:00,16750,ce,2,Nifty50 Pyramiding_1,NIFTY
19493,option,100,164.5,161.0,-380.0,2021-12-22 05:40:00.919614+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19495,option,25,462.15,471.8,211.25000000000085,2021-12-22 05:45:01.213184+00:00,2021-12-22 07:40:02.266147+00:00,34500,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19497,option,100,153.25,161.0,745.0,2021-12-22 05:45:03.069690+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19498,option,25,461.25,392.3,-1753.7499999999998,2021-12-22 05:45:03.138678+00:00,2021-12-22 07:50:03.044280+00:00,34500,ce,1,BankNifty Pyramiding_1,BANKNIFTY
19500,option,25,463.3,471.8,182.5,2021-12-22 05:50:01.113927+00:00,2021-12-22 07:40:02.266147+00:00,34500,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19501,option,100,161.4,161.0,-70.00000000000057,2021-12-22 05:50:03.909496+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19502,option,25,528.4,469.4,-1505.0,2021-12-22 05:55:01.090706+00:00,2021-12-22 07:50:01.250945+00:00,34400,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19503,option,25,528.4,555.0,635.0000000000006,2021-12-22 05:55:01.314040+00:00,2021-12-22 07:40:02.266147+00:00,34400,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19505,option,100,157.25,161.0,345.0,2021-12-22 05:55:04.112223+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19506,option,25,524.25,469.4,-1401.2500000000005,2021-12-22 06:00:02.338294+00:00,2021-12-22 07:50:01.250945+00:00,34400,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19507,option,100,155.6,161.0,510.00000000000057,2021-12-22 06:00:04.006071+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19508,option,25,524.25,555.0,738.75,2021-12-22 06:00:03.809627+00:00,2021-12-22 07:40:02.266147+00:00,34400,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19510,option,100,157.0,161.0,370.0,2021-12-22 06:05:00.941113+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19511,option,25,520.0,469.4,-1295.0000000000005,2021-12-22 06:05:01.178679+00:00,2021-12-22 07:50:01.250945+00:00,34400,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19512,option,25,520.0,555.0,845.0,2021-12-22 06:05:03.314402+00:00,2021-12-22 07:40:02.266147+00:00,34400,ce,26,BankNifty Pyramiding_11_26,BANKNIFTY
19514,option,100,164.2,161.0,-349.99999999999886,2021-12-22 06:10:00.778406+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19515,option,25,459.75,392.3,-1716.2499999999998,2021-12-22 06:10:06.619651+00:00,2021-12-22 07:50:01.250945+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19517,option,100,157.85,161.0,285.00000000000057,2021-12-22 06:15:02.960082+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19518,option,25,454.55,392.3,-1586.25,2021-12-22 06:15:04.500828+00:00,2021-12-22 07:50:01.250945+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19520,option,100,164.8,161.0,-410.00000000000114,2021-12-22 06:20:02.357295+00:00,2021-12-22 07:50:01.391823+00:00,16750,ce,4,Nifty50 Pyramiding_10,NIFTY
19521,option,25,469.2,392.3,-1952.4999999999995,2021-12-22 06:20:04.708880+00:00,2021-12-22 07:50:01.250945+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
19523,option,25,456.8,392.3,-1642.5,2021-12-22 06:25:02.165237+00:00,2021-12-22 07:50:01.250945+00:00,34500,ce,3,BankNifty Pyramiding_10,BANKNIFTY
