id,nfo_type,quantity,entry_price,exit_price,profit,placed_at,exited_at,strike,option_type,strategy_id,strategy_name,symbol,future_entry_price,future_exit_price,future_profit
74391,option,50,369.1,364.0,-285.00000000000114,2022-05-25 04:30:04.120903+00:00,2022-05-25 06:00:03.072136+00:00,34400,ce,98,BankNifty Every_Candle_35,BANKNIFTY,34578.95,34578.95,-320.0
74392,option,25,435.75,331.5,-2636.25,2022-05-25 04:30:04.243513+00:00,2022-05-25 07:15:16.088834+00:00,34300,ce,100,BankNifty Every_Candle_87,BANKNIFTY,34578.95,34435.0,-3918.7499999999272
74393,option,-100,166.55,164.05,-280.0,2022-05-25 04:35:01.017876+00:00,2022-05-25 05:50:02.634798+00:00,16250,pe,99,Nifty50 Every Candle_15,NIFTY,16137.0,16138.25,-445.0
74394,option,-100,166.55,198.95,3209.9999999999977,2022-05-25 04:35:01.046742+00:00,2022-05-25 06:50:04.235683+00:00,16250,pe,101,Nifty50 Every Candle_21,NIFTY,16137.0,16088.25,4555.0
74395,option,100,191.0,183.85,-745.0000000000006,2022-05-25 04:35:02.504525+00:00,2022-05-25 04:50:02.602745+00:00,16000,ce,9,Nifty50 Affordable_9,NIFTY,16137.0,16125.65,-1455.0000000000364
74396,option,50,373.7,364.0,-514.9999999999994,2022-05-25 04:35:03.192432+00:00,2022-05-25 06:00:03.072136+00:00,34400,ce,98,BankNifty Every_Candle_35,BANKNIFTY,34587.95,34578.95,-770.0
74397,option,25,440.85,331.5,-2763.7500000000005,2022-05-25 04:35:03.246001+00:00,2022-05-25 07:15:16.088834+00:00,34300,ce,100,BankNifty Every_Candle_87,BANKNIFTY,34587.95,34435.0,-4143.749999999927
74398,option,-100,167.15,164.05,-339.99999999999943,2022-05-25 04:40:00.854928+00:00,2022-05-25 05:50:02.634798+00:00,16250,pe,99,Nifty50 Every Candle_15,NIFTY,16135.800000000001,16138.25,-564.9999999998909
74399,option,100,189.9,183.85,-635.0000000000011,2022-05-25 04:40:00.932343+00:00,2022-05-25 04:50:02.602745+00:00,16000,ce,9,Nifty50 Affordable_9,NIFTY,16135.800000000001,16125.65,-1335.0000000001455
74400,option,-100,167.15,198.95,3149.999999999998,2022-05-25 04:40:02.296603+00:00,2022-05-25 06:50:04.235683+00:00,16250,pe,101,Nifty50 Every Candle_21,NIFTY,16135.800000000001,16088.25,4435.000000000109
74401,option,50,376.95,364.0,-677.4999999999994,2022-05-25 04:40:02.394192+00:00,2022-05-25 06:00:03.072136+00:00,34400,ce,98,BankNifty Every_Candle_35,BANKNIFTY,34589.3,34578.95,-837.500000000291
74402,option,25,443.55,331.5,-2831.2500000000005,2022-05-25 04:40:02.648055+00:00,2022-05-25 07:15:16.088834+00:00,34300,ce,100,BankNifty Every_Candle_87,BANKNIFTY,34589.3,34435.0,-4177.500000000073
74403,option,25,442.8,331.5,-2812.5000000000005,2022-05-25 04:45:01.882687+00:00,2022-05-25 07:15:16.088834+00:00,34300,ce,100,BankNifty Every_Candle_87,BANKNIFTY,34590.0,34435.0,-4195.0
74404,option,50,376.7,364.0,-664.9999999999994,2022-05-25 04:45:01.925689+00:00,2022-05-25 06:00:03.072136+00:00,34400,ce,98,BankNifty Every_Candle_35,BANKNIFTY,34590.0,34578.95,-872.5000000001455
74405,option,-100,168.2,198.95,3045.0,2022-05-25 04:45:03.573311+00:00,2022-05-25 06:50:04.235683+00:00,16250,pe,101,Nifty50 Every Candle_21,NIFTY,16132.65,16088.25,4119.999999999964
74406,option,-100,168.2,164.05,-444.9999999999977,2022-05-25 04:45:03.557463+00:00,2022-05-25 05:50:02.634798+00:00,16250,pe,99,Nifty50 Every Candle_15,NIFTY,16132.65,16138.25,-880.0000000000364
74407,option,-100,174.7,164.05,-1094.9999999999977,2022-05-25 04:50:01.119035+00:00,2022-05-25 05:50:02.634798+00:00,16250,pe,99,Nifty50 Every Candle_15,NIFTY,16125.65,16138.25,-1580.0000000000364
74408,option,-100,174.7,164.05,-1094.9999999999977,2022-05-25 04:50:01.165814+00:00,2022-05-25 05:50:03.387915+00:00,16250,pe,12,Nifty50_Single_Call_11_MV,NIFTY,16125.65,16138.25,-1580.0000000000364
74409,option,-100,175.0,198.95,2364.999999999999,2022-05-25 04:50:02.610488+00:00,2022-05-25 06:50:04.235683+00:00,16250,pe,101,Nifty50 Every Candle_21,NIFTY,16125.65,16088.25,3419.9999999999636
74410,option,-100,175.0,175.0,-30.0,2022-05-25 04:50:02.602745+00:00,2022-05-25 04:50:02.602745+00:00,16250,pe,9,Nifty50 Affordable_9,NIFTY,16125.65,16125.65,-320.0
74411,option,25,442.85,331.5,-2813.7500000000005,2022-05-25 04:50:04.057823+00:00,2022-05-25 07:15:16.088834+00:00,34300,ce,100,BankNifty Every_Candle_87,BANKNIFTY,34589.75,34435.0,-4188.75
74412,option,50,375.7,364.0,-614.9999999999994,2022-05-25 04:50:04.099804+00:00,2022-05-25 06:00:03.072136+00:00,34400,ce,98,BankNifty Every_Candle_35,BANKNIFTY,34589.75,34578.95,-860.0000000001455
74413,option,-100,179.25,164.05,-1549.9999999999989,2022-05-25 04:55:02.149409+00:00,2022-05-25 05:50:02.634798+00:00,16250,pe,99,Nifty50 Every Candle_15,NIFTY,16117.800000000001,16138.25,-2364.999999999891
74414,option,-100,179.25,198.95,1939.9999999999989,2022-05-25 04:55:02.193190+00:00,2022-05-25 06:50:04.235683+00:00,16250,pe,101,Nifty50 Every Candle_21,NIFTY,16117.800000000001,16088.25,2635.000000000109
74415,option,-100,179.25,167.9,-1164.9999999999995,2022-05-25 04:55:03.651156+00:00,2022-05-25 05:25:02.293795+00:00,16250,pe,9,Nifty50 Affordable_9,NIFTY,16117.800000000001,16135.300000000001,-2070.0
74416,option,25,437.5,331.5,-2680.0,2022-05-25 04:55:04.174569+00:00,2022-05-25 07:15:16.088834+00:00,34300,ce,100,BankNifty Every_Candle_87,BANKNIFTY,34578.0,34435.0,-3895.0
74417,option,50,370.35,364.0,-347.50000000000114,2022-05-25 04:55:03.667093+00:00,2022-05-25 06:00:03.072136+00:00,34400,ce,98,BankNifty Every_Candle_35,BANKNIFTY,34578.0,34578.95,-272.5000000001455
74418,option,-25,447.65,424.45,-609.9999999999998,2022-05-25 04:55:04.531272+00:00,2022-05-25 05:10:05.033647+00:00,34900,pe,7,BankNifty_Affordable_27_Trades,BANKNIFTY,34578.0,34611.0,-1145.0
74419,option,50,375.6,364.0,-610.0000000000011,2022-05-25 05:00:01.991450+00:00,2022-05-25 06:00:03.072136+00:00,34400,ce,98,BankNifty Every_Candle_35,BANKNIFTY,34585.2,34578.95,-632.5
74420,option,25,443.5,331.5,-2830.0,2022-05-25 05:00:02.603656+00:00,2022-05-25 07:15:16.088834+00:00,34300,ce,100,BankNifty Every_Candle_87,BANKNIFTY,34585.2,34435.0,-4074.9999999999272
74421,option,-100,176.2,210.8,3430.0000000000023,2022-05-25 05:00:04.290055+00:00,2022-05-25 08:45:06.548803+00:00,16250,pe,4,Nifty50 Pyramiding_10,NIFTY,16125.0,16064.45,5734.999999999927
74422,option,-25,441.95,424.45,-467.5,2022-05-25 05:00:03.656594+00:00,2022-05-25 05:10:05.033647+00:00,34900,pe,7,BankNifty_Affordable_27_Trades,BANKNIFTY,34585.2,34611.0,-965.0000000000728
74423,option,-100,176.5,167.9,-889.9999999999994,2022-05-25 05:00:04.827292+00:00,2022-05-25 05:25:02.293795+00:00,16250,pe,9,Nifty50 Affordable_9,NIFTY,16125.0,16135.300000000001,-1350.0000000001091
74424,option,-100,176.5,170.3,-649.9999999999989,2022-05-25 05:00:05.309755+00:00,2022-05-25 05:30:05.713294+00:00,16250,pe,40,Nifty50 Pyramiding_12_14_100_MV:12,NIFTY,16125.0,16128.550000000001,-675.0000000001091
74425,option,-100,174.9,170.3,-489.99999999999943,2022-05-25 05:00:06.741079+00:00,2022-05-25 05:30:06.622707+00:00,16250,pe,41,V 4 Nifty50 Pyramiding_12_14_100_MV:12,NIFTY,16125.0,16128.550000000001,-675.0000000001091
74426,option,-100,174.9,164.05,-1114.9999999999995,2022-05-25 05:00:06.290355+00:00,2022-05-25 05:50:02.634798+00:00,16250,pe,99,Nifty50 Every Candle_15,NIFTY,16125.0,16138.25,-1645.0
